套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
rack-cors,[直接依賴],https://github.com/cyu/rack-cors,MIT License,https://github.com/cyu/rack-cors/blob/master/LICENSE.txt,
rack-test,actionpack,https://github.com/rack/rack-test,MIT License,https://github.com/rack/rack-test/blob/main/MIT-LICENSE.txt,
rails,[直接依賴],https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
rails-controller-testing,[直接依賴],https://github.com/rails/rails-controller-testing,MIT License,https://github.com/rails/rails-controller-testing/blob/master/LICENSE,
rails-dom-testing,"actionmailer, actionpack, actionview",https://github.com/rails/rails-dom-testing,MIT License,https://github.com/rails/rails-dom-testing/blob/main/MIT-LICENSE,
rails-html-sanitizer,"actionpack, actionview",https://github.com/rails/rails-html-sanitizer,MIT License,https://github.com/rails/rails-html-sanitizer/blob/main/MIT-LICENSE,
rails-i18n,[直接依賴],https://github.com/svenfuchs/rails-i18n,MIT License,https://github.com/svenfuchs/rails-i18n/blob/master/MIT-LICENSE.txt,
railties,"devise, doorkeeper, factory_bot_rails, lograge, rails, rails-i18n, responders, rspec-rails",https://github.com/rails/rails,MIT License,https://github.com/rails/rails/blob/main/MIT-LICENSE,
rake,"mimemagic, railties",https://github.com/ruby/rake,MIT License,https://github.com/ruby/rake/blob/master/MIT-LICENSE,
rb-fsevent,listen,https://github.com/thibaudgg/rb-fsevent,MIT License,https://github.com/thibaudgg/rb-fsevent/blob/master/LICENSE.txt,
rb-inotify,listen,https://github.com/guard/rb-inotify,MIT License,https://github.com/guard/rb-inotify/blob/main/LICENSE.md,
redis,"[直接依賴], redis-namespace, sidekiq",https://github.com/redis/redis-rb,MIT License,https://github.com/redis/redis-rb/blob/master/LICENSE,
redis-namespace,[直接依賴],https://github.com/resque/redis-namespace,MIT License,https://github.com/resque/redis-namespace/blob/master/LICENSE,
request_store,lograge,https://github.com/steveklabnik/request_store,MIT License,https://github.com/steveklabnik/request_store/blob/master/LICENSE.txt,
responders,devise,https://github.com/heartcombo/responders,MIT License,https://github.com/heartcombo/responders/blob/main/MIT-LICENSE,
rotp,[直接依賴],https://github.com/mdp/rotp,MIT License,https://github.com/mdp/rotp/blob/main/LICENSE,
rpdoc,[直接依賴],https://github.com/kdan-mobile-software-ltd/rpdoc,MIT License,https://github.com/kdan-mobile-software-ltd/rpdoc/blob/master/LICENSE,
rspec-core,rspec-rails,https://github.com/rspec/rspec,MIT License,https://github.com/rspec/rspec/blob/main/LICENSE.md,
rspec-expectations,rspec-rails,https://github.com/rspec/rspec,MIT License,https://github.com/rspec/rspec/blob/main/LICENSE.md,
rspec-mocks,rspec-rails,https://github.com/rspec/rspec,MIT License,https://github.com/rspec/rspec/blob/main/LICENSE.md,
rspec-rails,[直接依賴],https://github.com/rspec/rspec-rails,MIT License,https://github.com/rspec/rspec-rails/blob/main/LICENSE.md,
rspec-support,"rspec-core, rspec-expectations, rspec-mocks, rspec-rails",https://github.com/rspec/rspec,MIT License,https://github.com/rspec/rspec/blob/main/LICENSE.md,
ruby-rc4,pdf-reader,https://github.com/caiges/Ruby-RC4,MIT License,https://github.com/caiges/Ruby-RC4/blob/master/LICENSE,
ruby-vips,image_processing,https://github.com/libvips/ruby-vips,MIT License,https://github.com/libvips/ruby-vips/blob/master/LICENSE.txt,
ruby2_keywords,faraday,https://github.com/ruby/ruby2_keywords,"BSD 2-Clause ""Simplified"" License",https://github.com/ruby/ruby2_keywords/blob/master/LICENSE,
rubyzip,[直接依賴],https://github.com/rubyzip/rubyzip,"BSD 2-Clause ""Simplified"" License",https://github.com/rubyzip/rubyzip/blob/main/LICENSE.md,
secret-keeper,[直接依賴],https://github.com/kdan-mobile-software-ltd/secret-keeper,MIT License,https://github.com/kdan-mobile-software-ltd/secret-keeper/blob/master/LICENSE.md,
service_caller,[直接依賴],https://github.com/kdan-mobile-software-ltd/service_caller,MIT License,https://github.com/kdan-mobile-software-ltd/service_caller/blob/master/LICENSE,
settingslogic,[直接依賴],https://github.com/binarylogic/settingslogic,MIT License,https://github.com/binarylogic/settingslogic/blob/master/LICENSE,
sidekiq,"[直接依賴], sidekiq-pro",https://github.com/sidekiq/sidekiq,非標準 (NOASSERTION),https://github.com/sidekiq/sidekiq/blob/main/LICENSE.txt,License type could not be determined. Content mentions: LGPL
spring,[直接依賴],https://github.com/rails/spring,MIT License,https://github.com/rails/spring/blob/main/LICENSE.txt,
sprockets,sprockets-rails,https://github.com/rails/sprockets,MIT License,https://github.com/rails/sprockets/blob/main/MIT-LICENSE,
sprockets-rails,rails,https://github.com/rails/sprockets-rails,MIT License,https://github.com/rails/sprockets-rails/blob/master/MIT-LICENSE,
thor,railties,https://github.com/rails/thor,MIT License,https://github.com/rails/thor/blob/main/LICENSE.md,
timeout,net-protocol,https://github.com/ruby/timeout,非標準 (NOASSERTION),https://github.com/ruby/timeout/blob/master/COPYING,"License type could not be determined. Content mentions: BSD License, Public Domain"
ttfunk,"[直接依賴], pdf-reader",https://github.com/prawnpdf/ttfunk,非標準 (NOASSERTION),https://github.com/prawnpdf/ttfunk/blob/master/LICENSE,"License type could not be determined. Content mentions: GPL-3.0, GPL-2.0, Public Domain"
tzinfo,"activesupport, tzinfo-data",https://github.com/tzinfo/tzinfo,MIT License,https://github.com/tzinfo/tzinfo/blob/master/LICENSE,
tzinfo-data,[直接依賴],https://github.com/tzinfo/tzinfo-data,MIT License,https://github.com/tzinfo/tzinfo-data/blob/master/LICENSE,
user_agent_parser,[直接依賴],https://github.com/ua-parser/uap-ruby,MIT License,https://github.com/ua-parser/uap-ruby/blob/main/MIT-LICENSE,
warden,devise,https://github.com/hassox/warden,MIT License,https://github.com/hassox/warden/blob/master/LICENSE,
websocket-driver,actioncable,https://github.com/faye/websocket-driver-ruby,Other,https://github.com/faye/websocket-driver-ruby/blob/main/LICENSE.md,
websocket-extensions,websocket-driver,https://github.com/faye/websocket-extensions-ruby,Other,https://github.com/faye/websocket-extensions-ruby/blob/main/LICENSE.md,
whenever,[直接依賴],https://github.com/javan/whenever,MIT License,https://github.com/javan/whenever/blob/main/LICENSE,
wicked_pdf,[直接依賴],https://github.com/mileszs/wicked_pdf,MIT License,https://github.com/mileszs/wicked_pdf/blob/master/LICENSE.txt,
wkhtmltopdf-binary,[直接依賴],https://github.com/zakird/wkhtmltopdf_binary_gem,Apache License 2.0,https://github.com/zakird/wkhtmltopdf_binary_gem/blob/master/LICENSE,
zeitwerk,activesupport,https://github.com/fxn/zeitwerk,MIT License,https://github.com/fxn/zeitwerk/blob/main/MIT-LICENSE,
