套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@babel/plugin-transform-property-literals,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-regenerator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-regexp-modifiers,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-reserved-words,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-runtime,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-shorthand-properties,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-spread,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-sticky-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-template-literals,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-typeof-symbol,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-unicode-escapes,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-unicode-property-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-unicode-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-unicode-sets-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/preset-env,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/preset-modules,,https://github.com/babel/preset-modules,MIT License,https://github.com/babel/preset-modules/blob/main/LICENSE,
@babel/runtime,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/template,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/traverse,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/types,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@bcoe/v8-coverage,,https://github.com/bcoe/v8-coverage,Other,https://github.com/bcoe/v8-coverage/blob/master/LICENSE.txt,
@dnd-kit/accessibility,,https://github.com/clauderic/dnd-kit,MIT License,https://github.com/clauderic/dnd-kit/blob/master/LICENSE,
@dnd-kit/core,,https://github.com/clauderic/dnd-kit,MIT License,https://github.com/clauderic/dnd-kit/blob/master/LICENSE,
@dnd-kit/sortable,,https://github.com/clauderic/dnd-kit,MIT License,https://github.com/clauderic/dnd-kit/blob/master/LICENSE,
@dnd-kit/utilities,,https://github.com/clauderic/dnd-kit,MIT License,https://github.com/clauderic/dnd-kit/blob/master/LICENSE,
@emnapi/core,,https://github.com/toyobayashi/emnapi,MIT License,https://github.com/toyobayashi/emnapi/blob/main/LICENSE,
@emnapi/runtime,,https://github.com/toyobayashi/emnapi,MIT License,https://github.com/toyobayashi/emnapi/blob/main/LICENSE,
@emnapi/wasi-threads,,https://github.com/toyobayashi/emnapi,MIT License,https://github.com/toyobayashi/emnapi/blob/main/LICENSE,
@emotion/is-prop-valid,,https://github.com/emotion-js/emotion,MIT License,https://github.com/emotion-js/emotion/blob/main/LICENSE,
@emotion/memoize,,https://github.com/emotion-js/emotion,MIT License,https://github.com/emotion-js/emotion/blob/main/LICENSE,
@emotion/stylis,,https://github.com/emotion-js/emotion,MIT License,https://github.com/emotion-js/emotion/blob/main/LICENSE,
@emotion/unitless,,https://github.com/emotion-js/emotion,MIT License,https://github.com/emotion-js/emotion/blob/main/LICENSE,
@eslint-community/eslint-utils,,https://github.com/eslint-community/eslint-utils,MIT License,https://github.com/eslint-community/eslint-utils/blob/main/LICENSE,
@eslint-community/regexpp,,https://github.com/eslint-community/regexpp,MIT License,https://github.com/eslint-community/regexpp/blob/main/LICENSE,
@eslint/eslintrc,,https://github.com/eslint/eslintrc,MIT License,https://github.com/eslint/eslintrc/blob/main/LICENSE,
@eslint/js,,https://github.com/eslint/eslint,MIT License,https://github.com/eslint/eslint/blob/main/LICENSE,
@humanwhocodes/config-array,,https://github.com/humanwhocodes/config-array,Apache License 2.0,https://github.com/humanwhocodes/config-array/blob/main/LICENSE,
@humanwhocodes/module-importer,,https://github.com/humanwhocodes/module-importer,Apache License 2.0,https://github.com/humanwhocodes/module-importer/blob/main/LICENSE,
